drug,ic50,cmax,ppb,free_cmax_calc,gap_calc,gap_pub,verdict_calc,verdict_pub,matches
Metformin,1.0,12.0,0.0,12.0,0.08333333333333333,0.08,PASS,PASS,True
Mebendazole,0.1,0.3,0.95,0.015000000000000013,6.666666666666661,6.7,CONDITIONAL,CONDITIONAL,True
Disulfiram,0.5,1.5,0.96,0.06000000000000005,8.333333333333327,8.3,CONDITIONAL,CONDITIONAL,True
Hydroxychloroquine,10.0,1.5,0.5,0.75,13.333333333333334,13.3,CONDITIONAL,CONDITIONAL,True
Artesunate,5.0,3.0,0.8,0.5999999999999999,8.333333333333336,8.3,CONDITIONAL,CONDITIONAL,True
Niclosamide,0.5,0.035,0.95,0.0017500000000000018,285.71428571428544,285.7,FAIL,FAIL,True
Ivermectin,5.0,0.28,0.93,0.01959999999999999,255.10204081632668,250.0,FAIL,FAIL,False
Itraconazole,1.5,2.0,0.995,0.010000000000000009,149.99999999999986,150.0,FAIL,FAIL,True
Simvastatin,10.0,0.034,0.95,0.0017000000000000016,5882.352941176465,5882.0,FAIL,FAIL,True
Salinomycin,0.5,,,,,,INSUFFICIENT,INSUFFICIENT,True
