chunk_id,kind,entity_type,source_kb,source_file,product_layer,text_len,name
arbiter_layer:l1_gateway,entity,arbiter_layer,v3_0_0,scientist-monai-moat/README.md,tumor_board,59,L1 Gateway
arbiter_layer:l2_input_normalizer,entity,arbiter_layer,v3_0_0,scientist-monai-moat/README.md,tumor_board,78,L2 Input Normalizer
arbiter_layer:l3_evidence_retriever,entity,arbiter_layer,v3_0_0,scientist-monai-moat/README.md,tumor_board,70,L3 Evidence Retriever
arbiter_layer:l4a_generator,entity,arbiter_layer,v3_0_0,scientist-monai-moat/README.md,tumor_board,71,L4a Generator
arbiter_layer:l4b_reflection,entity,arbiter_layer,v3_0_0,scientist-monai-moat/README.md,tumor_board,57,L4b Reflection
arbiter_layer:l4c_ranker,entity,arbiter_layer,v3_0_0,scientist-monai-moat/README.md,tumor_board,63,L4c Ranker
arbiter_layer:l5_arbiter_output,entity,arbiter_layer,v3_0_0,scientist-monai-moat/README.md,tumor_board,89,L5 Arbiter Output
arbiter_model:biopsy_medsiglip_probe,entity,arbiter_model,v3_0_0,scientist-monai-moat/docs/model_cards/biopsy_medsiglip_probe.md,tumor_board,529,Model card: biopsy-medsiglip-probe (L4b)
arbiter_model:errata,entity,arbiter_model,v3_0_0,scientist-monai-moat/docs/model_cards/errata.md,tumor_board,528,Model card errata — `oncology-arbiter`
arbiter_model:frontend_spa,entity,arbiter_model,v3_0_0,scientist-monai-moat/docs/model_cards/frontend_spa.md,tumor_board,518,Frontend SPA (React + Vite)
arbiter_model:medgemma_1_27b,entity,arbiter_model,v3_0_0,scientist-monai-moat/docs/model_cards/medgemma_1_27b.md,tumor_board,554,Model card: `google/medgemma-27b-it` (MedGemma 1 27B multimodal)
arbiter_model:medgemma_1_5_4b,entity,arbiter_model,v3_0_0,scientist-monai-moat/docs/model_cards/medgemma_1_5_4b.md,tumor_board,528,Model card: `google/medgemma-1.5-4b-it`
arbiter_model:medsiglip_448,entity,arbiter_model,v3_0_0,scientist-monai-moat/docs/model_cards/medsiglip_448.md,tumor_board,524,Model card: `google/medsiglip-448`
arbiter_model:monai_detector_heuristic,entity,arbiter_model,v3_0_0,scientist-monai-moat/docs/model_cards/monai_detector_heuristic.md,tumor_board,532,Model card: monai-detector-heuristic (L4a)
arbiter_model:nsclc_lung_heuristic_v0,entity,arbiter_model,v3_0_0,scientist-monai-moat/docs/model_cards/nsclc_lung_heuristic_v0.md,tumor_board,559,Model Card — NSCLC Lung Heuristic + NCCN-lite (Oncology Arbiter v0.2)
