[2026-07-21 00:24:43 +0000] 
[2026-07-21 00:24:43 +0000] pyEGA3 - EGA python client version 5.2.0 (https://github.com/EGA-archive/ega-download-client)
[2026-07-21 00:24:43 +0000] Parts of this software are derived from pyEGA (https://github.com/blachlylab/pyega) by James Blachly
[2026-07-21 00:24:43 +0000] Python version : 3.11.13
[2026-07-21 00:24:43 +0000] OS version : Linux #1 SMP Sun Jan 10 15:06:54 PST 2016
[2026-07-21 00:24:43 +0000] Server URL: https://ega.ebi.ac.uk:8443/v2
[2026-07-21 00:24:43 +0000] Session-Id: 2216743880
[2026-07-21 00:24:44 +0000] 
[2026-07-21 00:24:44 +0000] Authentication success for user '<EGA_USER_REDACTED>'
[2026-07-21 00:24:48 +0000] File ID         Status Bytes        Check sum                            File name
[2026-07-21 00:24:48 +0000] EGAF00008095623      1 698709769    a9430a9b58057f11f45351433ba8c067     JBLAB-4927.bam
[2026-07-21 00:24:48 +0000] EGAF00008095502      1 419571750    c6cc4e088c4f7583d9312e044abc471f     JBLAB-4184.bam
[2026-07-21 00:24:48 +0000] EGAF00008095624      1 568423002    0601edbb5eaf2454f507f18f8386cba9     JBLAB-4928.bam
[2026-07-21 00:24:48 +0000] EGAF00008095503      1 759614055    7afb29bd1d47b13c3e71085f5d1f87f1     JBLAB-4186.bam
[2026-07-21 00:24:48 +0000] EGAF00008095625      1 573699414    e193b20988abbdcd731499123d78e803     JBLAB-4929.bam
[2026-07-21 00:24:48 +0000] EGAF00008095504      1 716648966    bb2dc4bd645214b25001e5b45d3e0c18     JBLAB-4187.bam
[2026-07-21 00:24:48 +0000] EGAF00008095626      1 674190107    92de04667106ba78c099846a9db5d895     JBLAB-4931.bam
[2026-07-21 00:24:48 +0000] EGAF00008095505      1 430334561    678a59ce0279506a5b0fdfadbf7f21e1     JBLAB-4188.bam
[2026-07-21 00:24:48 +0000] EGAF00008095620      1 874295105    6d6c0f269b5c7699e01346a5bbebb245     JBLAB-4922.bam
[2026-07-21 00:24:48 +0000] EGAF00008095621      1 606581481    b02b3314e4cfb5c97b54b579d7bb81f3     JBLAB-4923.bam
[2026-07-21 00:24:48 +0000] EGAF00008095500      1 1103061531   6fec8162df56c62650603f3b5f026d4e     JBLAB-4180.bam
[2026-07-21 00:24:48 +0000] EGAF00008095622      1 780774376    629ffc7ee5b966ffe5776b27e51a7998     JBLAB-4924.bam
[2026-07-21 00:24:48 +0000] EGAF00008095501      1 719278350    0920ef72763fc75d850bc7b844d9436a     JBLAB-4183.bam
[2026-07-21 00:24:48 +0000] EGAF00008095616      1 437545411    a248b6e840f8b48956b435907d871071     JBLAB-4918.bam
[2026-07-21 00:24:48 +0000] EGAF00008095617      1 848710060    7bd04221378306300d7d043a0c1b8933     JBLAB-4919.bam
[2026-07-21 00:24:48 +0000] EGAF00008095618      1 1034677206   e1c7f5e4d36ef79fbb5a3cb1fa14a1f6     JBLAB-4920.bam
[2026-07-21 00:24:48 +0000] EGAF00008095619      1 542579004    13f973a1d4b10bb9e42e2d080f2bebaf     JBLAB-4921.bam
[2026-07-21 00:24:48 +0000] EGAF00008095612      1 816731453    0e7adbc237c148ad65efad4526fdc5d3     JBLAB-4913.bam
[2026-07-21 00:24:48 +0000] EGAF00008095613      1 942917845    f55cc270485e92488eb3dbcaee68d08b     JBLAB-4914.bam
[2026-07-21 00:24:48 +0000] EGAF00008095614      1 950371686    f2dbccfefdcdedcc92b1907c314bce33     JBLAB-4915.bam
[2026-07-21 00:24:48 +0000] EGAF00008095615      1 843594391    536c2ab79c441f12012c081ea2d69e40     JBLAB-4916.bam
[2026-07-21 00:24:48 +0000] EGAF00008095610      1 679961000    4d18c4df1e96332fb135936e9d9dfaf7     JBLAB-4910.bam
[2026-07-21 00:24:48 +0000] EGAF00008095611      1 681248474    af705b3557556e2a3d309df2a6a818d0     JBLAB-4912.bam
[2026-07-21 00:24:48 +0000] EGAF00008095609      1 1009653938   2a2d9121202674939edd2b93a4c79899     JBLAB-4909.bam
[2026-07-21 00:24:48 +0000] EGAF00008095605      1 833398912    e11fed00ea52dc8b0b7f9f1c4a06d52b     JBLAB-4902.bam
[2026-07-21 00:24:48 +0000] EGAF00008095606      1 1064464461   295c48ae05349d5ee02a8e96951c8119     JBLAB-4903.bam
[2026-07-21 00:24:48 +0000] EGAF00008095607      1 656925397    07d64e9bf2da393e6b486de8f21424cf     JBLAB-4904.bam
[2026-07-21 00:24:48 +0000] EGAF00008095608      1 704804700    ef181c50466824867b6f81227811fb0a     JBLAB-4908.bam
[2026-07-21 00:24:48 +0000] EGAF00008095640      1 686882341    b7c8fe76b5b0c80ecf8757a0ae061315     JBLAB-4950.bam
[2026-07-21 00:24:48 +0000] EGAF00008095645      1 531008353    d6073891122f97571549d2e94e639d11     JBLAB-4956.bam
[2026-07-21 00:24:48 +0000] EGAF00008095524      1 656621996    389a8973a50c9e930b5d560bde9dc0f1     JBLAB-4210.bam
[2026-07-21 00:24:48 +0000] EGAF00008095403      1 504361783    a99d82f86dcbcd7a370e060daeb71957     JBLAB-19311.bam
[2026-07-21 00:24:48 +0000] EGAF00008095646      1 769906232    b015806dddbf65128fef38936ef8b421     JBLAB-4957.bam
[2026-07-21 00:24:48 +0000] EGAF00008095525      1 420544907    3bb0234575a853b7916bb525cbcc5d87     JBLAB-4211.bam
[2026-07-21 00:24:48 +0000] EGAF00008095404      1 799549383    00466972ab1f65a8bc60cad26a8464cd     JBLAB-19312.bam
[2026-07-21 00:24:48 +0000] EGAF00008095647      1 751869339    6d28ff239df0b53c44dce2ed8b253038     JBLAB-4958.bam
[2026-07-21 00:24:48 +0000] EGAF00008095526      1 1030940720   6d0303c9a62f42435fa80c55efcd2fe4     JBLAB-4212.bam
[2026-07-21 00:24:48 +0000] EGAF00008095405      1 1024907680   220034ee667f6cff760773f477c140be     JBLAB-19313.bam
[2026-07-21 00:24:48 +0000] EGAF00008095648      1 750638524    e31c2ffd84b271229ae4c92fc856a14b     JBLAB-4959.bam
[2026-07-21 00:24:48 +0000] EGAF00008095527      1 817422829    6514a2ace1dc4dc2993fbf0bda3132ea     JBLAB-4213.bam
[2026-07-21 00:24:48 +0000] EGAF00008095406      1 1247956579   302ae902e332b927223dea180c9ff945     JBLAB-19314.bam
[2026-07-21 00:24:48 +0000] EGAF00008095641      1 830854928    d6870c2a64690938d86299be349bec55     JBLAB-4951.bam
[2026-07-21 00:24:48 +0000] EGAF00008095520      1 499872013    fc50fc78c0cb9938cb96088fa33bcb5b     JBLAB-4205.bam
[2026-07-21 00:24:48 +0000] EGAF00008095642      1 465581013    71f3ec9740e2410ea52b3e13709715e4     JBLAB-4952.bam
[2026-07-21 00:24:48 +0000] EGAF00008095521      1 877596824    b54497e5f1aa0762f9eeeb30b1de684a     JBLAB-4206.bam
[2026-07-21 00:24:48 +0000] EGAF00008095400      1 1373414714   6b0b242dc9277570cc3b4d7aa21ef22c     JBLAB-19308.bam
